iter	Accuracy	Logloss
844	0.8665730337	0.324039171
845	0.8679775281	0.3239307908
846	0.8679775281	0.323823212
847	0.8693820225	0.3234784835
848	0.8693820225	0.3233382695
849	0.8707865169	0.3231638782
850	0.8721910112	0.3229699356
851	0.8721910112	0.3228827177
852	0.8735955056	0.3228485505
853	0.8721910112	0.32278097
854	0.8721910112	0.3227664487
855	0.8721910112	0.3226041211
856	0.8721910112	0.3225646082
857	0.8721910112	0.3224686456
858	0.8707865169	0.3224299473
859	0.8707865169	0.3223932173
860	0.8707865169	0.3223438027
861	0.8707865169	0.3221893221
862	0.8707865169	0.3220641014
863	0.8721910112	0.3217972616
864	0.8707865169	0.3215475172
865	0.8707865169	0.3214130397
866	0.8721910112	0.3213426862
867	0.8707865169	0.3212245925
868	0.8707865169	0.3210822018
869	0.8707865169	0.3210018538
870	0.8707865169	0.3208495318
871	0.8721910112	0.3207868414
872	0.8721910112	0.3207576371
873	0.8721910112	0.3207115217
874	0.8721910112	0.3206961586
875	0.8721910112	0.3206762569
876	0.8721910112	0.3205179411
